issue_name,issue_url,article_url,author,title,year,journal,vol,doi,data_url,stata,julia,python,R,C,C++,matlab,fortran,sas
Vol. 92            No. 5             December 2002,https://www.aeaweb.org/issues/39,https://www.aeaweb.org/articles?id=10.1257/000282802762024557,"Borenstein, Severin, James B. Bushnell, and Frank A. Wolak.","""Measuring Market Inefficiencies in California's Restructured Wholesale Electricity Market      .""",2002,American Economic Review,"92 (5):
  1376-1405.",10.1257/000282802762024557,https://www.aeaweb.org/articles/attachments?retrieve=StFIZBpnqbvabd5uckcRJzOqAhT0BCq3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 92            No. 5             December 2002,https://www.aeaweb.org/issues/39,https://www.aeaweb.org/articles?id=10.1257/000282802762024629,"Angrist, Joshua, Eric Bettinger, Erik Bloom, Elizabeth King, and Michael Kremer.","""Vouchers for Private Schooling in Colombia: Evidence from a Randomized Natural Experiment      .""",2002,American Economic Review,"92 (5):
  1535-1558.",10.1257/000282802762024629,https://www.aeaweb.org/aer/data/dec02_angrist_data.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Vol. 94            No. 4             September 2004,https://www.aeaweb.org/issues/48,https://www.aeaweb.org/articles?id=10.1257/0002828042002516,"Mazzocco, Maurizio.","""Saving, Risk Sharing, and Preferences for Risk.""",2004,American Economic Review,"94 (4):
  1169-1182.",10.1257/0002828042002516,https://www.aeaweb.org/aer/data/sept04_data_mazzocco.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 94            No. 4             September 2004,https://www.aeaweb.org/issues/48,https://www.aeaweb.org/articles?id=10.1257/0002828042002561,"Bertrand, Marianne, and Sendhil Mullainathan.","""Are Emily and Greg More Employable Than Lakisha and Jamal? A Field Experiment on Labor Market Discrimination.""",2004,American Economic Review,"94 (4):
  991-1013.",10.1257/0002828042002561,https://www.aeaweb.org/aer/data/sept04_data_bertrand.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 94            No. 4             September 2004,https://www.aeaweb.org/issues/48,https://www.aeaweb.org/articles?id=10.1257/0002828042002570,"Sala-I-Martin, Xavier, Gernot Doppelhofer, and Ronald I. Miller.","""Determinants of Long-Term Growth: A Bayesian Averaging of Classical Estimates (BACE) Approach.""",2004,American Economic Review,"94 (4):
  813-835.",10.1257/0002828042002570,https://www.aeaweb.org/aer/data/sept04_bace_data.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 94            No. 4             September 2004,https://www.aeaweb.org/issues/48,https://www.aeaweb.org/articles?id=10.1257/0002828042002651,"Romer, Christina, D., and David H. Romer.","""A New Measure of Monetary Shocks: Derivation and Implications.""",2004,American Economic Review,"94 (4):
  1055-1084.",10.1257/0002828042002651,https://www.aeaweb.org/aer/data/sept04_data_romer.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 94            No. 4             September 2004,https://www.aeaweb.org/issues/48,https://www.aeaweb.org/articles?id=10.1257/0002828042002741,"Engelmann, Dirk, and Martin Strobel.","""Inequality Aversion, Efficiency, and Maximin Preferences in Simple Distribution Experiments.""",2004,American Economic Review,"94 (4):
  857-869.",10.1257/0002828042002741,https://www.aeaweb.org/aer/data/sept04_data_engelmann.txt,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vol. 94            No. 5             December 2004,https://www.aeaweb.org/issues/49,https://www.aeaweb.org/articles?id=10.1257/0002828043052178,"Hill, Robert, J.","""Constructing Price Indexes across Space and Time: The Case of the European Union.""",2004,American Economic Review,"94 (5):
  1379-1410.",10.1257/0002828043052178,https://www.aeaweb.org/aer/data/dec04_data_hill.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 94            No. 5             December 2004,https://www.aeaweb.org/issues/49,https://www.aeaweb.org/articles?id=10.1257/0002828043052196,"Wenli, Li, and Pierre -Daniel Sarte.","""Progressive Taxation and Long-Run Growth.""",2004,American Economic Review,"94 (5):
  1705-1716.",10.1257/0002828043052196,https://www.aeaweb.org/aer/data/dec04_data_sarte.zip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vol. 94            No. 5             December 2004,https://www.aeaweb.org/issues/49,https://www.aeaweb.org/articles?id=10.1257/0002828043052231,"Coate, Stephen, and Michael Conlin.","""A Group Rule-Utilitarian Approach to Voter Turnout: Theory and Evidence.""",2004,American Economic Review,"94 (5):
  1476-1504.",10.1257/0002828043052231,https://www.aeaweb.org/aer/data/dec04_data_coate.zip,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
